name,source,lat,lon,address,deal,timing,image_url,image_source,local_image,website,wikidata,wikipedia,category
Hotel Runs,OSM,13.00636,80.2548775,"Hotel Runs, Sardar Patel Road, CMWSSB Division 175, Ward 175, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hotel_runs_78.jpg,,,,restaurant
TOPSEE,OSM,12.9986633,80.2563991,"TOPSEE, Dr Muthulakshmi Salai, CMWSSB Division 176, Ward 176, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\topsee_79.jpg,,,,restaurant
Hotchips,OSM,13.00651,80.2442513,"Hotchips, Sardar Patel Road, CMWSSB Division 172, Ward 172, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hotchips_80.jpg,,,,restaurant
Sri Krishna Sweets,OSM,13.1232973,80.1498208,"Sri Krishna Sweets, Vanagaram - Ambathur - Puzhal Road, CMWSSB Division 81, Ward 81, Zone 7 Ambattur, Chennai Corporation, Ambattur, Thiruvallur, Tamil Nadu, 600053, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),http://srikrishnasweets.com/cdn/shop/files/SriKrishnaSweets_Sri_Krishna_Sweets_SKS_Chennai__SKSSWEETS_Logo.png?v=1713275465,official_website,venue_images\sri_krishna_sweets.png,http://www.srikrishnasweets.com/,Q7585868,,restaurant
Sri Parvathy Bhavan,OSM,13.052763,80.192033,"Sri Parvathy Bhavan, Kaliamman Koil Street, CMWSSB Division 128, Ward 128, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600093, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sri_parvathy_bhavan_82.jpg,,,,restaurant
Dosa the Restaurant,OSM,12.9863717,80.2607741,"Dosa the Restaurant, North Mada Street, CMWSSB Division 181, Ward 181, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600041, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\dosa_the_restaurant_83.jpg,,,,restaurant
Sangeeta,OSM,13.0070874,80.2500834,"Sangeeta, Gandhi Nagar 1st Main Road, CMWSSB Division 175, Ward 175, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600020, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sangeeta_84.jpg,,,,restaurant
Hot Chips,OSM,13.0645733,80.2433771,"Hot Chips, McNichols Road, CMWSSB Division 110, Ward 111, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600006, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hot_chips_85.jpg,,,,restaurant
Hotel Raj Bhavan,OSM,13.0558502,80.248,"Hotel Raj Bhavan, Tirumurthy Nagar Main Road, CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600034, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hotel_raj_bhavan_86.jpg,,,,restaurant
Dhaba,OSM,13.0813079,80.2742022,"Dhaba, General Hospital Road, CMWSSB Division 59, Ward 59, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600001, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\dhaba_87.jpg,,,,restaurant
Sangamam Chettinad Hotel,OSM,13.0349987,80.2163485,"Sangamam Chettinad Hotel, Door number 1, 7th Avenue, CMWSSB Division 132, Ward 132, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600083, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sangamam_chettinad_hotel_88.jpg,,,,restaurant
Anajappar,OSM,13.0328373,80.212066,"Anajappar, Inner Ring Road, CMWSSB Division 132, Ward 132, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600083, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\anajappar_89.jpg,,,,restaurant
Shankara Bhavan,OSM,13.051775,80.2430546,"Shankara Bhavan, Prakasam Street, CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600034, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\shankara_bhavan_90.jpg,,,,restaurant
Delhi Hotel,OSM,13.0880874,80.2757144,"Delhi Hotel, Pilliyar Koil Street, CMWSSB Division 59, Ward 59, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\delhi_hotel_91.jpg,,,,restaurant
Karaikudi,OSM,13.0448865,80.2644988,"Karaikudi, Dr Radhakrishnan Salai, CMWSSB Division 121, Ward 119, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\karaikudi_92.jpg,,,,restaurant
Twilight Takeout,OSM,13.0544491,80.2392199,"Twilight Takeout, 4th Street, CMWSSB Division 110, Ward 110, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600034, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\twilight_takeout_93.jpg,,,,restaurant
Sagar Restaurant,OSM,13.0083726,80.2106059,"Sagar Restaurant, Anna Salai (Mount Road), CMWSSB Division 160, Ward 160, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600032, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sagar_restaurant_94.jpg,,,,restaurant
shanmukas,OSM,13.0277769,80.2308167,"shanmukas, 1st Main Road, CMWSSB Division 171, Ward 171, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600022, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\shanmukas_95.jpg,,,,restaurant
Al Reef Restaurant,OSM,12.9712514,80.2583585,"Al Reef Restaurant, East Coast Road, CMWSSB Division 183, Ward 183, Zone 14 Perungudi, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600041, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\al_reef_restaurant_96.jpg,,,,restaurant
Savoury Sea Shell,OSM,12.9723375,80.2192115,"Savoury Sea Shell, Velachery Main Road, CMWSSB Division 178, Ward 178, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\savoury_sea_shell_97.jpg,,,,restaurant
Top City,OSM,12.8710593,80.2266785,"Top City, Rajiv Gandhi Salai, CMWSSB Division 200, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600130, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\top_city_98.jpg,,,,restaurant
Hotel Mathus,OSM,12.9739862,80.2581256,"Hotel Mathus, 1st Main Road, CMWSSB Division 183, Ward 183, Zone 14 Perungudi, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600041, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\hotel_mathus_99.jpg,,,,restaurant
Bella Ciao,OSM,12.9721533,80.2648774,"Bella Ciao, Water Land Drive Road, CMWSSB Division 183, Ward 183, Zone 14 Perungudi, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600041, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\bella_ciao_100.jpg,,,,restaurant
Supriya Andra Mess,OSM,12.9821542,80.2326981,"Supriya Andra Mess, New Colony 1st Street, CMWSSB Division 179, Ward 179, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\supriya_andra_mess_101.jpg,,,,restaurant
Punjabi Restaurant,OSM,12.9822545,80.2327044,"Punjabi Restaurant, New Colony 1st Street, CMWSSB Division 179, Ward 179, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\punjabi_restaurant_102.jpg,,,,restaurant
Hot Kitchen,OSM,12.9086606,80.249748,"Hot Kitchen, 78-79, East Coast Road, CMWSSB Division 196, Ward 196, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600041, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hot_kitchen_103.jpg,http://www.hotkitchenecr.com/,,,restaurant
Ponnusamy Hotel,OSM,13.0609702,80.245495,"Ponnusamy Hotel, Jagannathan Road, CMWSSB Division 113, Ward 113, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600034, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ponnusamy_hotel_104.jpg,,,,restaurant
Cascade,OSM,12.9961478,80.2681092,"Cascade, Besant Nagar 16th Cross Street, CMWSSB Division 176, Ward 176, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600090, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\cascade_105.jpg,,,,restaurant
Hotel Meenakshi Bhavan,OSM,13.0296649,80.276637,"Hotel Meenakshi Bhavan, Santhome High Road, CMWSSB Division 125, Ward 125, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hotel_meenakshi_bhavan_106.jpg,,,,restaurant
Curries and Chutneys,OSM,13.0651778,80.2589417,"Curries and Chutneys, P.V Cheriyan Road, CMWSSB Division 61, Ward 61, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600112, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\curries_and_chutneys_107.jpg,,,,restaurant
Ratna Cafe,OSM,12.9805893,80.2179786,"Ratna Cafe, Velachery Bypass Road, CMWSSB Division 177, Ward 177, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ratna_cafe_108.jpg,,,,cafe
Flamingo,OSM,12.9841726,80.2182307,"Flamingo, RajaLaxmi Nagar 3rd Main Road, CMWSSB Division 178, Ward 178, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\flamingo_109.jpg,,,,restaurant
Mast Kalandar,OSM,12.9847606,80.2177291,"Mast Kalandar, Velachery Bypass Road, CMWSSB Division 177, Ward 177, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\mast_kalandar_110.jpg,,,,restaurant
Amethyst,OSM,13.057334,80.259754,"Amethyst, Whites Road, CMWSSB Division 115, Ward 115, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600112, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\amethyst_111.jpg,,,,restaurant
Texas Fiesta,OSM,13.06004,80.253221,"Texas Fiesta, Shafee Mohammed Road, CMWSSB Division 111, Ward 111, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600006, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\texas_fiesta_112.jpg,www.texasfiesta.in,,,restaurant
Ganga Sweets,OSM,12.975984,80.2216517,"Ganga Sweets, 16, Sarathy Nagar 1st street, CMWSSB Division 179, Ward 179, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ganga_sweets_113.jpg,,,,restaurant
Maruthi Bhavan,OSM,12.9761386,80.221856,"Maruthi Bhavan, Sarathy Nagar 1st Main Road, CMWSSB Division 179, Ward 179, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\maruthi_bhavan_114.jpg,,,,restaurant
Freeze Zone,OSM,13.0428655,80.259599,"Freeze Zone, TTK Road, CMWSSB Division 119, Ward 119, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600018, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\freeze_zone_115.jpg,,,,restaurant
Gangotree,OSM,13.0471789,80.2546452,"Gangotree, Cathedral Road, CMWSSB Division 111, Ward 111, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600086, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\gangotree_116.jpg,,,,restaurant
Toscana,OSM,13.0290737,80.2483233,"Toscana, Pasumpon Muthuramalingar Thevar Salai, CMWSSB Division 122, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600002, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\toscana_117.jpg,,,,restaurant
Parfait3,OSM,12.979042,80.2267092,"Parfait3, Taramani Link Road, CMWSSB Division 179, Ward 179, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\parfait3_118.jpg,,,,restaurant
Mash,OSM,13.061691,80.248271,"Mash, 3, 2nd Street, CMWSSB Division 111, Ward 111, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600006, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\mash_119.jpg,,,,restaurant
Banana Leaf,OSM,13.0408188,80.2380816,"Banana Leaf, Sir Thyagaraya Road, CMWSSB Division 136, Ward 136, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600017, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\banana_leaf_120.jpg,,,,restaurant
Sri Balajee Bhavan,OSM,13.0408797,80.2378821,"Sri Balajee Bhavan, Sir Thyagaraya Road, CMWSSB Division 136, Ward 136, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600017, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sri_balajee_bhavan_121.jpg,,,,restaurant
Nalas Aappakadai,OSM,13.0414192,80.2381571,"Nalas Aappakadai, Sri Muthukrishnan Street, CMWSSB Division 136, Ward 136, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600017, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\nalas_aappakadai_122.jpg,,,,restaurant
Dindigul Velu Biryani,OSM,12.969707,80.2178866,"Dindigul Velu Biryani, Velachery MRTS Bridge, CMWSSB Division 178, Ward 178, Zone 13 Adyar, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 601100, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\dindigul_velu_biryani_123.jpg,,,,restaurant
Sri Anjeppar restaurant,OSM,12.9933742,80.2001919,"Sri Anjeppar restaurant, Mount - Medavakkam Road, CMWSSB Division 163, Ward 163, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600088, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sri_anjeppar_restaurant_124.jpg,,,,restaurant
Loiee,OSM,12.9935964,80.1997306,"Loiee, Mount - Medavakkam Road, CMWSSB Division 161, Ward 161, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600088, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\loiee_125.jpg,,,,restaurant
CUC Restaurant,OSM,12.9274004,80.2317217,"CUC Restaurant, Vivekanand Street, CMWSSB Division 195, Ward 195, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600115, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\cuc_restaurant_126.jpg,,,,restaurant
Heaven n Home,OSM,12.9196464,80.2306441,"Heaven n Home, Rajiv Gandhi Salai, CMWSSB Division 197, Ward 197, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600119, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\heaven_n_home_127.jpg,,,,restaurant
PEPPER,OSM,12.9191392,80.2306816,"PEPPER, Rajiv Gandhi Salai, CMWSSB Division 197, Ward 197, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600119, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\pepper_128.jpg,,,,restaurant
Sri Sai Surya Hotel,OSM,12.9863102,80.1883615,"Sri Sai Surya Hotel, Nanganallur 4th Main Road, CMWSSB Division 164, Nanganallur, Ward 164, Zone 12 Alandur, Chennai Corporation, Alandur, Chennai, Tamil Nadu, 600061, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sri_sai_surya_hotel_129.jpg,,,,restaurant
Food Fiesta,OSM,12.9803074,80.2287613,"Food Fiesta, Road in Baby Nagar, CMWSSB Division 179, Ward 179, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\food_fiesta_130.jpg,,,,restaurant
Nandini Bakery and Restaurant,OSM,12.988058,80.2230137,"Nandini Bakery and Restaurant, Velachery Main Road, CMWSSB Division 174, Ward 174, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\nandini_bakery_and_restaurant_131.jpg,,,,cafe
The Farm,OSM,12.8670026,80.2276391,"The Farm, Pondichery Road, CMWSSB Division 200, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600097, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\the_farm_132.jpg,,,,restaurant
Murudi's Hotel,OSM,13.0755331,80.2693697,"Murudi's Hotel, Arunachalam Street, CMWSSB Division 62, Ward 62, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600003, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\murudi_s_hotel_133.jpg,,,,restaurant
Hot Pot China,OSM,12.9636596,80.2463937,"Hot Pot China, Dr MGR Main Road, CMWSSB Division 185, Ward 185, Zone 14 Perungudi, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600096, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\hot_pot_china_134.jpg,,,,restaurant
Cream & Fudge,OSM,13.0907453,80.2184356,"Cream & Fudge, Anna Nagar 3rd Avenue, CMWSSB Division 101, Ward 101, Zone 8 Anna Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600102, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\cream___fudge_135.jpg,,,,restaurant
Nalas Appakadai,OSM,13.0883486,80.2178412,"Nalas Appakadai, 5th Main Road, CMWSSB Division 101, Ward 101, Zone 8 Anna Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600102, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,google_content,venue_images\nalas_appakadai_136.jpg,,,,restaurant
Al Najeeb,OSM,13.0900655,80.2444917,"Al Najeeb, Barakha Road, CMWSSB Division 74, Otteri, Ward 74, Zone 6 Thiru. Vi. Ka. Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600023, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\al_najeeb_137.jpg,,,,restaurant
KimLing,OSM,13.0846594,80.2126022,"KimLing, 2nd Avenue, Anna Nagar West, CMWSSB Division 100, Ward 100, Zone 8 Anna Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600040, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\kimling_138.jpg,,,,restaurant
Amma Canteen,OSM,13.0723411,80.2313491,"Amma Canteen, Venkatachalapathy Street, CMWSSB Division 107, Ward 107, Zone 8 Anna Nagar, Chennai Corporation, Chennai, Tamil Nadu, 600030, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\amma_canteen_139.jpg,,,,restaurant
Kailash Parbat,OSM,12.989057,80.2183478,"Kailash Parbat, Velachery Bypass Road, CMWSSB Division 174, Ward 174, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\kailash_parbat_140.jpg,,,,restaurant
Veg Haven,OSM,12.9905467,80.2187073,"Veg Haven, Radhakrishnan Street, CMWSSB Division 174, Ward 174, Zone 13 Adyar, Chennai Corporation, Chennai, Tamil Nadu, 600042, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\veg_haven_141.jpg,,,,restaurant
iWay Restaurant,OSM,12.9596032,80.2445544,"iWay Restaurant, Rajiv Gandhi Salai, CMWSSB Division 186, Ward 186, Zone 14 Perungudi, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600096, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\iway_restaurant_142.jpg,,,,restaurant
Aishwarya Restaurant,OSM,12.9941032,80.1871212,"Aishwarya Restaurant, Grand Southern Trunk Road, CMWSSB Division 201, St. Thomas Mount Cantonment, Alandur, Chennai, Tamil Nadu, 600114, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\aishwarya_restaurant_143.jpg,,,,restaurant
Jeyasri Pure Veg,OSM,13.0659239,80.2681364,"Jeyasri Pure Veg, Anna Salai (Mount Road), CMWSSB Division 63, Ward 63, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600014, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\jeyasri_pure_veg_144.jpg,,,,restaurant
Vel Tiffin Centre,OSM,13.0243276,80.2212113,"Vel Tiffin Centre, Koothadum Pilliyar Koil Street, CMWSSB Division 142, Saidapet, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600015, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\vel_tiffin_centre_145.jpg,,,,restaurant
Fathima Cafe,OSM,13.0246165,80.2211984,"Fathima Cafe, Koothadum Pilliyar Koil Street, CMWSSB Division 142, Ward 142, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600015, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\fathima_cafe_146.jpg,,,,cafe
Sangeetha Vegetarian Restaurant,OSM,13.0889275,80.2875692,"Sangeetha Vegetarian Restaurant, Armenian Street, CMWSSB Division 60, Ward 60, Zone 5 Royapuram, Chennai Corporation, Chennai, Tamil Nadu, 600079, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\sangeetha_vegetarian_restauran_147.jpg,,,,restaurant
Indian Cofee House,OSM,13.0348438,80.2305246,"Indian Cofee House, South Usman Road, CMWSSB Division 141, Ward 141, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600022, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\indian_cofee_house_148.jpg,,,,restaurant
Ganambal Idly Shop,OSM,12.9308257,80.2323729,"Ganambal Idly Shop, Rajiv Gandhi Salai, CMWSSB Division 195, Ward 195, Zone 15 Sholinganallur, Chennai Corporation, Sholinganallur, Chennai, Tamil Nadu, 600115, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\ganambal_idly_shop_149.jpg,,,,restaurant
Metro Sagar,OSM,13.0213047,80.225602,"Metro Sagar, Anna Salai (Mount Road), CMWSSB Division 142, Ward 142, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600015, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\metro_sagar_150.jpg,,,,restaurant
Mansuk's,OSM,13.0355652,80.21636,"Mansuk's, 57A, 7th Avenue, CMWSSB Division 132, Ward 132, Zone 10 Kodambakkam, Chennai Corporation, Chennai, Tamil Nadu, 600083, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\mansuk_s_151.jpg,,,,restaurant
Paddington Sports Bar,OSM,13.0298367,80.2422978,"Paddington Sports Bar, 132, Pasumpon Muthuramalingar Thevar Salai (Chamiers Road), CMWSSB Division 122, Ward 122, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600035, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\paddington_sports_bar_152.jpg,,,,bar/pub
Kaidhi Kitchen,OSM,13.0445136,80.2614492,"Kaidhi Kitchen, 20/3, Bishop Wallers East Av, CMWSSB Division 119, Ward 119, Zone 9 Teynampet, Chennai Corporation, Chennai, Tamil Nadu, 600004, India",Buy 1 Get 1 Free on Select Cocktails,4:00 PM - 8:00 PM (Daily),,web_find,venue_images\kaidhi_kitchen_153.jpg,,,,restaurant
